Название Магазина,Номер телефона,Адрес 
Купе,+7 (495) 740-80-28,"Полярная ул., 31Г"
Роникон,"+7 (495) 988-49-99, +7 (495) 967-99-10, +7 (495) 967-99-19","Москва, Щелковское ш., 100, корп.1а"
Кухнев,"+7 (495) 989-44-15, +7 (905) 560-68-70","Москва, ул. Усачева, 11, стр. 17"
Кухни Мария,8 (800) 100-31-31,"Москва, МКАД, 71"
Нет названия,Нет номера,Нет адресса
Форема-кухни,"+7 (495) 744-70-74, 8 (800) 250-52-65","Москва, МКАД, 71-й км, 71"
Кухни Анонс,+7 (495) 363-21-85,"Москва, МКАД, 66-й км, ТЦ Твой дом"
Зов,+7 (495) 249-00-32,"Москва, Румянцево дер., Киевское ш., корп.В, БП Румянцево, вход 9, эт. 3, сектор F4"
Кухни Ольга,+7 (495) 971-00-40,"Москва, Челобитьевское ш., 10, корп.3"
Кухни для души,"+7 (495) 641-83-70, +7 (926) 230-67-40","Москва, Кронштадтский бул., 14, ТЦ Мебель России"
Компания Мекран,"8 (800) 777-11-88, +7 (495) 988-11-88","121059, Москва, Филипповский пер., 8, стр. 1"
Terra Italia,+7 (499) 705-99-09,"Москва, Бескудниковский бул., 36/3"
Нет названия,Нет номера,Нет адресса
Dreamline,"8 (800) 555-44-63, +7 (495) 555-44-63, +7 (495) 961-51-63","Москва, Рязанский просп., 2, корп.2, ТЦ Город, эт. 3"
Полосатая лошадка,"+7 (499) 745-89-93, +7 (917) 510-00-20","117587, Кировоградская ул., 11, корп. 1"
"Interno - поставщик света, мебели, доски из массива",+7 (495) 649-67-98,"Москва, ул. Михалковская, 63б, стр. 1, оф. 501"
ARLine,"+7 (495) 580-61-94, +7 (495) 644-19-81","143026, Россия, Московская обл., Одинцовский р-н, Новоивановское пос., ул. Агрохимиков, стр. 1, ТЦ Мебель России"
Lion Stone,"+7 (495) 943-98-84, +7 (901) 593-98-84, +7 (901) 593-46-98","117342, Москва, Кожуховский 2-й пр-д, 23/8"
Micuna,+7 (495) 412-68-41,"Москва, ул. Сущевский Вал, 5"
Новый интерьер,"+7 (495) 719-06-89, +7 (926) 776-37-64","117218, Нахимовский просп., 24, стр. 3"
GreenTop,+7 (495) 979-93-76,"Москва, ул. Свободы, 35"
ОДО Кухни Столицы,+7 (495) 979-54-01,"Москва, Волгоградский просп., 26/36"
Атис мебель,"+7 (499) 390-81-85, +7 (903) 623-83-77","Москва, ул. Старобитцевская, 7"
СК Коллаж,+7 (903) 239-97-10,"117218, Нахимовский просп., 24"
ЭлитариоАверс,+7 (916) 676-02-56,"Москва, ул. Беловежская, 43"
Персона-Лев,+7 (929) 997-42-46,"Москва, МКАД, 66-й км, корп.1, ТЦ Твой дом"
Диван-On,"+7 (495) 799-40-90, +7 (903) 799-40-96","Москва, ш. Энтузиастов, 54"
Ахтиар,"+7 (495) 771-17-89, +7 (925) 040-64-87","Москва, ул. Автозаводская, 23"
Элит Гифт,+7 (495) 640-70-63,"109052, Рязанский просп., 2, стр. 49"
Интерьер купе,"+7 (495) 540-51-61, +7 (495) 777-30-21","Россия, город Москва, улица Амурская, 2, литера А"
Бакаут,+7 (495) 961-92-80,"117218, Нахимовский просп., 24"
Gp-Decor,+7 (495) 120-01-65,"Москва, Нахимовский просп., 24, пав. 4, оф. № 308"
Кухни Зов,"+7 (499) 340-56-40, +7 (495) 233-44-43","Московская обл., Мытищинский р-н, Мытищи, ул. Борисовка, 8"
Интернет-магазин Новое кресло,+7 (926) 051-75-85,"Москва, ул. Люблинская, 153"
Шик Модерн,+7 (916) 343-33-32,"117405, Варшавское ш., 170Б, стр. 2"
Door-city.ru,+7 (495) 517-07-77,"Россия, Московская область, Ленинский район, деревня Апаринки"
Тайм Дорс,+7 (499) 391-32-06,"140090, ул. Энергетиков, 42, корп. 1, Дзержинский"
Caesarstone,+7 (967) 183-70-90,"Москва, Каширское ш., 19, стр. 2"
Люкспотолок,"+7 (495) 518-37-54, +7 (916) 066-82-70","Москва, ул. Белореченская, 55"
АСП-Мебель,+7 (495) 788-80-17,"129337, Москва, Ярославское ш., 19, стр. 1, Мебель России ТЦ"
Искусство гармонии,"+7 (495) 772-85-27, +7 (495) 364-00-73","Москва, ул. Люблинская, 169, корп.2, ТЦ Мариэль, эт. 2"
Компания СубботинМебель,"+7 (929) 631-96-25, +7 (985) 113-82-96, +7 (499) 340-60-74","Москва, Большой Афанасьевский пер., 15, стр. 1"
Filippe Grandy,"+7 (495) 665-46-91, +7 (916) 400-49-46","117393, Москва, ул. Профсоюзная, 56, ТЦ Черемушки, эт. 3"
Гранд-Мобили,+7 (495) 723-22-04,"123100, Шмитовский пр., 16, стр. 1"
Мебельная Симфония,"+7 (495) 380-38-76, +7 (926) 688-00-56, +7 (495) 775-04-78","127560, Москва, ул. Пришвина, 26"
Stanley,"+7 (495) 434-23-10, +7 (495) 433-80-88","119526, Москва, Вернадского просп., 101, стр. 1"
Ваш дом мебель,"+7 (495) 290-36-47, +7 (495) 774-13-59","109518, Россия, Москва, Гостиничная улица, 10к5"
Роникон,"+7 (925) 390-22-04, +7 (985) 134-60-15","Россия, Москва, Большая Семёновская улица, 10"
Артмассив-плюс,+7 (926) 425-39-70,"142717, 29, СНТ Поляна"
Экомебель,"8 (800) 200-22-17, +7 (495) 730-54-64","115172, Москва, ул. Каменщики Большие, 8"
Кухни Люкс,+7 (985) 430-76-20,"Москва, Волоколамское ш., 14"
Gvarneri,"+7 (926) 318-93-79, +7 (926) 318-96-25, +7 (903) 734-67-60","115280, ул. Ленинская Слобода, 26"
Brigitte,+7 (916) 009-26-11,"115280, ул. Ленинская Слобода, 26"
Кухни Сальвадор,"+7 (495) 729-87-61, +7 (965) 170-86-30","Москва, Дмитровское ш., 118, корп.1, ТЦ МебельСити"
Белорусские кухни Зов,+7 (495) 255-55-93,"111024, ш. Энтузиастов, 12, корп. 2"
Ugolki.com,+7 (495) 740-27-80,"119619, Производственная ул., 6"
Нет названия,Нет номера,Нет адресса
Евроньюформ,"+7 (495) 502-79-52, +7 (495) 728-35-15, +7 (495) 782-34-68, +7 (499) 158-39-56","125080, Москва, Волоколамское ш., 15/22"
Отличные кухни,+7 (499) 322-82-60,"Россия, Москва, Каширское шоссе, 5к1"
Кухни рекомендуют,+7 (985) 232-20-53,"Москва, Дмитровское ш., 118, корп.1, ТЦ Мебель Сити, эт. 2"
Кухни Рамина,+7 (926) 693-68-75,"Москва, Щелковское ш., 100, корп.100"
Creative Кухни,"+7 (499) 394-35-06, +7 (925) 872-92-07","Москва, Волгоградский просп., 109"
Лидер Массив,"+7 (495) 514-58-06, +7 (915) 868-88-68","119571, просп. Вернадского, 92"
Салон Кухни Злата,+7 (499) 713-22-96,"Москва, ул. Генерала Белова, 35, Трц Мебельград"
Нет названия,Нет номера,Нет адресса
Гроссмастер,+7 (495) 799-38-38,"Москва, Щелковское ш., 100, стр. 1"
Доступные кухни,+7 (495) 767-00-17,"Москва, 1-я Владимирская, 22, корп.2"
Салон Мебелита,+7 (498) 657-32-80,"Москва, Развилка пос., 46, ТЦ Торговые ряды"
Магазин Olive,+7 (967) 050-90-85,"МКАД, 47-й километр, с21"
Кухонный Двор,"+7 (495) 503-20-01, +7 (495) 500-04-04, +7 (495) 780-98-24, +7 (495) 966-40-40","Россия, Московская область, Люберецкий район, город Люберцы, улица Кирова, 10"
АСП-Интерьер,+7 (495) 665-33-91,"117393, Москва, ул. Профсоюзная, 56, ТЦ Черемушки, эт. 3, пав. № В12"
Divani.msk.ru,"+7 (495) 743-35-74, +7 (499) 346-69-74","Москва, Алтуфьевское ш., 24"
Мебель в стиле шале,+7 (963) 622-23-63,"Московская обл., Одинцовский р-н, Заречье пос., ул. Торговая, стр. 2"
Интернет магазин Мебель Москва,+7 (906) 716-73-86,"Москва, ул. Высокая, 12"
Офисная мебель Москва Артиссимус,+7 (495) 223-00-92,"Москва, ш. Энтузиастов, 54"
Мастерская Deco-r,+7 (916) 484-64-85,"Москва, Сигнальный пр-д, 18"
Ставрос,"+7 (968) 924-42-49, 8 (800) 555-46-75, +7 (495) 663-72-44","Россия, Москва, Мажоров переулок, 14с14"
Проша,+7 (917) 547-60-83,"Москва, МКАД, 66-й км, ТЦ Твой Дом 2"
Интернет-магазин Мебелена,"+7 (495) 241-14-11, +7 (985) 773-41-03","Москва, Кремлевская наб., 1, стр. 2"
Белорусская мебель,+7 (495) 768-09-30,Москва
MebelLoft,+7 (901) 593-97-37,"129344, ул. Искры, 31, корп. 1"
"Mоbel Stadt, офис","8 (800) 333-62-93, +7 (903) 204-41-18, +7 (967) 219-73-95","Москва, ул. Автомоторная, 1/3, стр. 2"
Группа компаний Оптима,+7 (985) 647-64-79,"140005, ул. Кирова, 20А, Люберцы"
Мастерская Ventano,"+7 (910) 474-39-91, +7 (903) 208-94-82","125363, ул. Фабрициуса, 13"
Мебель Вита,"+7 (499) 209-36-89, +7 (915) 477-09-65, +7 (495) 604-18-17","127572, Новгородская ул., 25"
Реал-Мебель,"+7 (499) 755-82-56, +7 (926) 490-58-03","Москва, Остаповский пр-д, 3, стр. 8, БЦ Капитал"
Спецмебель,"+7 (495) 995-29-82, +7 (495) 589-05-63","30/1, д. Грибки"
PlazaMebel.ru,"+7 (985) 410-55-45, +7 (495) 410-55-45","127282, Чермянский пр., 5, стр. 8"
Мебель под старину,"+7 (900) 481-36-06, +7 (904) 594-18-26","Москва, ул. 2-я Владимирская, 19"
Зов кухни,"+7 (499) 643-22-41, +7 (926) 095-59-78, +7 (929) 977-91-10, +7 (495) 532-58-81, +7 (499) 136-54-71, +7 (929) 906-23-83","127576, Россия, Москва, Череповецкая улица, 4а"
ЗОВ Мебель,"+7 (987) 522-55-22, +7 (926) 140-91-78","Москва, ш. Открытое, 9, стр. 14"
МДЧ,+7 (901) 593-27-33,"127560, Россия, г. Москва, ул. Пришвина, 26, ТЦ Миллион мелочей, эт. 2, место В06"
HANAK,+7 (495) 665-11-58,"117587, Россия, Москва, Кировоградская улица, 11, корп. 1, МТК Армада"
NewLine,+7 (495) 660-52-17,"117587, Кировоградская ул., 11, корп. 1"
Мебельный салон Элбург,"+7 (495) 221-29-79, +7 (495) 221-29-80","Москва, Ярославское ш., 19, ТЦ Мебель России"
АСП-Интерьер,+7 (495) 649-84-01,"125362, Москва, Дмитровское ш., 24, ТЦ Стройдекор, эт. 2"
АСП-Интерьер,+7 (499) 550-02-57,"127560, ул. Пришвина, 26"
АСП-Интерьер,"+7 (495) 649-84-01, +7 (495) 984-20-83","127282, Широкая ул., 12Б"
Столы и стулья,+7 (495) 798-87-11,"Россия, Москва, поселок завода Мосрентген, Завод Мосрентген, оф. 11"
LeHome Interiors,+7 (495) 649-63-00,"Москва, МКАД, 66-й км, корп.4, Крокусс Сити Твой дом, эт. 4"
LeHome Interiors,"+7 (495) 649-63-00, 8 (800) 333-31-91","Москва, ул. Кировоградская, 11, корп.1, МК Армада, эт. 3"
Мебель в дом,"+7 (495) 984-09-25, +7 (901) 888-64-65","Москва, Варшавское ш., 97"
Авангард мебель,"+7 (929) 665-89-81, +7 (929) 577-22-20","Москва, Тихорецкий бул., 1, стр. 2а"
Море диванов,+7 (916) 967-80-54,"Москва, ул. Тимирязевская, 2, корп.3"
Антураж мебель,"+7 (495) 971-33-79, +7 (963) 683-32-22","Россия, Москва, Варшавское шоссе, 129к2"
Румынская и итальянская мебель Whitewood,"+7 (495) 969-33-13, +7 (925) 507-69-05, +7 (905) 777-06-73","117587, Кировоградская ул., 11, корп. 1"
Favorite Interiors,+7 (495) 640-30-41,"Москва, ул. Нижняя Сыромятническая, 10"
Удобная мебель,+7 (926) 245-76-66,"109052, Россия, Москва, Каширское шоссе, 61к3А, ТЦ Москва, эт. 2"
Нет названия,Нет номера,Нет адресса
Интер-М,+7 (495) 729-05-97,"Москва, ул. Фридриха Энгельса, 75"
